الوحدة / Unité,المعرّف / Identifiant,بالحرف اللاتيني / Latin,بالحرف العربي / Graphie arabe,تيفيناغ / Tifinagh,المعنى بالإنجليزية / Sens (anglais),المعنى بالفرنسية / Sens (français),المعنى بالعربية / Sens (arabe),نوع الكلمة / Nature du mot,المنطقة / Région,"درجة الثقة / Confiance (high, medium, low)",لماذا (بالفرنسية) / Pourquoi,لماذا / Pourquoi (arabe),صيغ أخرى معروفة / Variantes connues,أول درس / Première leçon,صحيح؟ / Correct ?,التصحيح / Correction,المراجِع / Relecteur,القرية / Village
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000002,azul fellak,أزول فلاك,ⴰⵣⵓⵍ ⴼⴻⵍⵍⴰⴽ,hello (to a man),bonjour (à un homme),مرحبًا (لرجل),phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,"azul + préposition fellak/fellam/fellawen « sur toi / sur vous », comme dans d'autres parlers amazighs ; forme chaouie à confirmer.",«أزول» + «فلاك/فلام/فلاون» (عليك/عليكم) كما في لهجات أمازيغية أخرى؛ يجب تأكيد الصيغة الشاوية.,,1. Bonjour ! / مرحبًا!,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000003,azul fellam,أزول فلام,ⴰⵣⵓⵍ ⴼⴻⵍⵍⴰⵎ,hello (to a woman),bonjour (à une femme),مرحبًا (لامرأة),phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,"azul + préposition fellak/fellam/fellawen « sur toi / sur vous », comme dans d'autres parlers amazighs ; forme chaouie à confirmer.",«أزول» + «فلاك/فلام/فلاون» (عليك/عليكم) كما في لهجات أمازيغية أخرى؛ يجب تأكيد الصيغة الشاوية.,,1. Bonjour ! / مرحبًا!,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000004,azul fellawen,أزول فلاون,ⴰⵣⵓⵍ ⴼⴻⵍⵍⴰⵡⴻⵏ,"hello, everyone",bonjour à tous,مرحبًا بكم جميعًا,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,"azul + préposition fellak/fellam/fellawen « sur toi / sur vous », comme dans d'autres parlers amazighs ; forme chaouie à confirmer.",«أزول» + «فلاك/فلام/فلاون» (عليك/عليكم) كما في لهجات أمازيغية أخرى؛ يجب تأكيد الصيغة الشاوية.,,1. Bonjour ! / مرحبًا!,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000006,tanmirt,تانميرت,ⵜⴰⵏⵎⵉⵔⵜ,thank you,merci,شكرًا,interjection / تعجّب,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme panamazighe (kabyle tanemmirt) ; au quotidien beaucoup de Chaouis disent plutôt « saḥḥit ».,صيغة أمازيغية مشتركة (بالقبائلية tanemmirt)؛ كثير من الشاوية يقولون «صحّيت» في الحياة اليومية.,"tanemmirt, saḥḥit",1. Bonjour ! / مرحبًا!,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000007,ih,إه,ⵉⵀ,yes,oui,نعم,particule / أداة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme du kabyle et de parlers voisins ; la forme chaouie est à confirmer.,صيغة قبائلية ومن لهجات مجاورة؛ يجب تأكيد الصيغة الشاوية.,"ayh, wah",1. Bonjour ! / مرحبًا!,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000008,ala,ألا,ⴰⵍⴰ,no,non,لا,particule / أداة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme du kabyle ; certains parlers zénètes disent uhu. À confirmer.,صيغة قبائلية؛ بعض اللهجات الزناتية تقول uhu. يجب التأكد.,uhu,1. Bonjour ! / مرحبًا!,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000014,ula d nec,أولا د نش,ⵓⵍⴰ ⴷ ⵏⴻⵛ,me too,moi aussi,وأنا أيضًا,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,ula d nekk,2. Toi et moi / أنا وأنت,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000015,mamec,مامش,ⵎⴰⵎⴻⵛ,how,comment,كيف,adverbe / ظرف,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme zénète (proche du rifain) attribuée au chaoui sans certitude.,صيغة زناتية (قريبة من الريفية) منسوبة إلى الشاوية دون يقين.,"amek, mamek",2. Toi et moi / أنا وأنت,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000016,mamec telliḍ,مامش تليض,ⵎⴰⵎⴻⵛ ⵜⴻⵍⵍⵉⴹ,how are you?,comment vas-tu ?,كيف حالك؟,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,« Comment es-tu » : mamec + telliḍ (verbe ili « être ») ; la finale -ḍ se prononce peut-être -d.,«كيف أنت»: mamec + telliḍ (فعل ili «كان»)؛ قد تُنطق النهاية ‎-ḍ دالًا.,amek telliḍ,2. Toi et moi / أنا وأنت,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000018,min,مين,ⵎⵉⵏ,what,"quoi, quel",ماذا، ما,pronom / ضمير,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme zénète (proche du rifain) attribuée au chaoui sans certitude.,صيغة زناتية (قريبة من الريفية) منسوبة إلى الشاوية دون يقين.,acu,3. Comment t'appelles-tu ? / ما اسمك؟,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000019,min isem-nnek,مين إسمنك,ⵎⵉⵏ ⵉⵙⴻⵎ-ⵏⵏⴻⴽ,what's your name? (to a man),comment t'appelles-tu ? (à un homme),ما اسمك؟ (لرجل),phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,acu isem-nnek,3. Comment t'appelles-tu ? / ما اسمك؟,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000020,min isem-nnem,مين إسمنم,ⵎⵉⵏ ⵉⵙⴻⵎ-ⵏⵏⴻⵎ,what's your name? (to a woman),comment t'appelles-tu ? (à une femme),ما اسمكِ؟ (لامرأة),phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,acu isem-nnem,3. Comment t'appelles-tu ? / ما اسمك؟,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000021,isem-inu Aksil,إسمينو أكسيل,ⵉⵙⴻⵎ-ⵉⵏⵓ ⴰⴽⵙⵉⵍ,my name is Aksil,je m'appelle Aksil,اسمي أكسيل,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Possessif -inu « mon » ; certains parlers disent -iw. À confirmer.,لاحقة الملكية ‎-inu (ـي)؛ بعض اللهجات تقول ‎-iw. يجب التأكد.,isem-iw,3. Comment t'appelles-tu ? / ما اسمك؟,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000022,isem-inu Dihya,إسمينو ديهيا,ⵉⵙⴻⵎ-ⵉⵏⵓ ⴷⵉⵀⵢⴰ,my name is Dihya,je m'appelle Dihya,اسمي ديهيا,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Possessif -inu « mon » ; certains parlers disent -iw. À confirmer.,لاحقة الملكية ‎-inu (ـي)؛ بعض اللهجات تقول ‎-iw. يجب التأكد.,isem-iw,3. Comment t'appelles-tu ? / ما اسمك؟,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000023,ameddukel,أمدوكل,ⴰⵎⴻⴷⴷⵓⴽⴻⵍ,friend (a man),ami,صديق,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,amdakkel,3. Comment t'appelles-tu ? / ما اسمك؟,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000024,tameddukelt,تامدوكلت,ⵜⴰⵎⴻⴷⴷⵓⴽⴻⵍⵜ,friend (a woman),amie,صديقة,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,tamdakkelt,3. Comment t'appelles-tu ? / ما اسمك؟,,,,
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000032,ur fhimeɣ ca,أور فهيمغ شا,ⵓⵔ ⴼⵀⵉⵎⴻⵖ ⵛⴰ,I don't understand,je ne comprends pas,لا أفهم,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Verbe fhem (emprunt courant) avec la négation ur … ca ; forme de la négation à confirmer.,الفعل fhem (مقترض وشائع) مع النفي ur … ca؛ يجب تأكيد صيغة النفي.,,4. Fiers d'être chaouis / شاوي وأفتخر,,,,
