الترتيب / Ordre,الوحدة / Unité,الدرس / Leçon,المعرّف / Identifiant,النص المقروء (لاتيني) / Texte à lire (latin),النص (بالحرف العربي) / Texte (graphie arabe),المعنى / Sens (français),المعنى / Sens (arabe),الصوت / Voix,الدور في الحوار / Rôle dans le dialogue
1,1 — Salutations et présentations / التحيات والتعارف,1. Bonjour ! / مرحبًا!,3c010000-0000-4000-8000-000000000001,azul,أزول,bonjour,مرحبًا,أيّ صوت / au choix,
2,1 — Salutations et présentations / التحيات والتعارف,1. Bonjour ! / مرحبًا!,3c010000-0000-4000-8000-000000000002,azul fellak,أزول فلاك,bonjour (à un homme),مرحبًا (لرجل),أيّ صوت / au choix,Dihya (♀) — U1 « Première rencontre » / «أول لقاء» ; Tiziri (♀) — U1 « Tu es chaoui ? » / «هل أنت شاوي؟» ; Tiziri (♀) — U2 « Voici ma famille » / «تعرّف على عائلتي» ; Dihya (♀) — U4 « Au stand » / «عند البائع» ; Tanina (♀) — U6 « La chèvre perdue » / «العنزة الضائعة»
3,1 — Salutations et présentations / التحيات والتعارف,1. Bonjour ! / مرحبًا!,3c010000-0000-4000-8000-000000000003,azul fellam,أزول فلام,bonjour (à une femme),مرحبًا (لامرأة),أيّ صوت / au choix,Aksil (♂) — U1 « Première rencontre » / «أول لقاء» ; Massin (♂) — U1 « Tu es chaoui ? » / «هل أنت شاوي؟» ; Tiziri (♀) — U2 « Voici ma famille » / «تعرّف على عائلتي» ; Yuba (♂) — U4 « Au stand » / «عند البائع» ; Yuba (♂) — U6 « La chèvre perdue » / «العنزة الضائعة»
4,1 — Salutations et présentations / التحيات والتعارف,1. Bonjour ! / مرحبًا!,3c010000-0000-4000-8000-000000000004,azul fellawen,أزول فلاون,bonjour à tous,مرحبًا بكم جميعًا,أيّ صوت / au choix,Yuba (♂) — U5 « Une visite » / «زيارة»
5,1 — Salutations et présentations / التحيات والتعارف,1. Bonjour ! / مرحبًا!,3c010000-0000-4000-8000-000000000005,labas,لاباس,"ça va, bien",بخير,أيّ صوت / au choix,Aksil (♂) — U1 « Première rencontre » / «أول لقاء» ; Yuba (♂) — U5 « Une visite » / «زيارة»
6,1 — Salutations et présentations / التحيات والتعارف,1. Bonjour ! / مرحبًا!,3c010000-0000-4000-8000-000000000006,tanmirt,تانميرت,merci,شكرًا,أيّ صوت / au choix,Massin (♂) — U3 « Bonne année » / «سنة سعيدة» ; Tanina (♀) — U4 « À table ! » / «العشاء جاهز» ; Dihya (♀) — U4 « Au stand » / «عند البائع» ; Yuba (♂) — U5 « Une visite » / «زيارة» ; Yuba (♂) — U6 « La chèvre perdue » / «العنزة الضائعة»
7,1 — Salutations et présentations / التحيات والتعارف,1. Bonjour ! / مرحبًا!,3c010000-0000-4000-8000-000000000007,ih,إه,oui,نعم,أيّ صوت / au choix,Massin (♂) — U1 « Tu es chaoui ? » / «هل أنت شاوي؟» ; Aksil (♂) — U2 « Où est ta mère ? » / «أين أمّك؟»
8,1 — Salutations et présentations / التحيات والتعارف,1. Bonjour ! / مرحبًا!,3c010000-0000-4000-8000-000000000008,ala,ألا,non,لا,أيّ صوت / au choix,
9,1 — Salutations et présentations / التحيات والتعارف,2. Toi et moi / أنا وأنت,3c010000-0000-4000-8000-000000000009,nec,نش,"je, moi",أنا,أيّ صوت / au choix,
10,1 — Salutations et présentations / التحيات والتعارف,2. Toi et moi / أنا وأنت,3c010000-0000-4000-8000-000000000010,cek,شك,toi (à un homme),أنتَ,أيّ صوت / au choix,
11,1 — Salutations et présentations / التحيات والتعارف,2. Toi et moi / أنا وأنت,3c010000-0000-4000-8000-000000000011,cem,شم,toi (à une femme),أنتِ,أيّ صوت / au choix,
12,1 — Salutations et présentations / التحيات والتعارف,2. Toi et moi / أنا وأنت,3c010000-0000-4000-8000-000000000012,netta,نتا,"il, lui",هو,أيّ صوت / au choix,
13,1 — Salutations et présentations / التحيات والتعارف,2. Toi et moi / أنا وأنت,3c010000-0000-4000-8000-000000000013,nettat,نتات,elle,هي,أيّ صوت / au choix,
14,1 — Salutations et présentations / التحيات والتعارف,2. Toi et moi / أنا وأنت,3c010000-0000-4000-8000-000000000014,ula d nec,أولا د نش,moi aussi,وأنا أيضًا,أيّ صوت / au choix,Tiziri (♀) — U1 « Tu es chaoui ? » / «هل أنت شاوي؟»
15,1 — Salutations et présentations / التحيات والتعارف,2. Toi et moi / أنا وأنت,3c010000-0000-4000-8000-000000000015,mamec,مامش,comment,كيف,أيّ صوت / au choix,
16,1 — Salutations et présentations / التحيات والتعارف,2. Toi et moi / أنا وأنت,3c010000-0000-4000-8000-000000000016,mamec telliḍ,مامش تليض,comment vas-tu ?,كيف حالك؟,أيّ صوت / au choix,Dihya (♀) — U1 « Première rencontre » / «أول لقاء» ; Tanina (♀) — U5 « Une visite » / «زيارة»
17,1 — Salutations et présentations / التحيات والتعارف,3. Comment t'appelles-tu ? / ما اسمك؟,3c010000-0000-4000-8000-000000000017,isem,إسم,nom,اسم,أيّ صوت / au choix,
18,1 — Salutations et présentations / التحيات والتعارف,3. Comment t'appelles-tu ? / ما اسمك؟,3c010000-0000-4000-8000-000000000018,min,مين,"quoi, quel",ماذا، ما,أيّ صوت / au choix,
19,1 — Salutations et présentations / التحيات والتعارف,3. Comment t'appelles-tu ? / ما اسمك؟,3c010000-0000-4000-8000-000000000019,min isem-nnek,مين إسمنك,comment t'appelles-tu ? (à un homme),ما اسمك؟ (لرجل),أيّ صوت / au choix,Dihya (♀) — U1 « Première rencontre » / «أول لقاء»
20,1 — Salutations et présentations / التحيات والتعارف,3. Comment t'appelles-tu ? / ما اسمك؟,3c010000-0000-4000-8000-000000000020,min isem-nnem,مين إسمنم,comment t'appelles-tu ? (à une femme),ما اسمكِ؟ (لامرأة),أيّ صوت / au choix,Aksil (♂) — U1 « Première rencontre » / «أول لقاء»
